ID,Name,Year,Month,Day,Status,Wind_mph,Latitude,Longitude
AL091936,UNNAMED,1936,8,21, TS,50,28.9,-80.8
AL011937,UNNAMED,1937,7,29, TS,55,28.1,-82.8
AL031937,UNNAMED,1937,8,30, TS,60,29.1,-80.9
AL071937,UNNAMED,1937,9,19, TS,40,29.1,-89.3
AL071937,UNNAMED,1937,9,20, TS,35,29.7,-85.4
AL101937,UNNAMED,1937,10,3, TS,35,29.5,-92
AL101937,UNNAMED,1937,10,3, TS,35,29.8,-92
AL031938,UNNAMED,1938,8,15, HU,65,29.8,-93.4
AL061938,UNNAMED,1938,9,21, HU,105,40.7,-72.9
AL061938,UNNAMED,1938,9,21, HU,100,41.3,-72.9
AL071938,UNNAMED,1938,10,17, TS,40,29.3,-94.8
AL011939,UNNAMED,1939,6,16, TS,50,30.3,-87.6
AL021939,UNNAMED,1939,8,11, HU,65,27.2,-80.2
AL021939,UNNAMED,1939,8,13, HU,65,30.4,-86.4
AL041939,UNNAMED,1939,9,26, TS,45,29.1,-90.2
AL021940,UNNAMED,1940,8,7, HU,85,29.7,-94.1
AL031940,UNNAMED,1940,8,11, HU,85,32.1,-80.8
AL061940,UNNAMED,1940,9,24, TS,40,29.8,-93.4
AL021941,UNNAMED,1941,9,23, HU,110,28.8,-95.6
AL051941,UNNAMED,1941,10,6, HU,85,25.5,-80.2
AL051941,UNNAMED,1941,10,6, HU,85,25.5,-80.3
AL051941,UNNAMED,1941,10,7, HU,80,29.9,-84.6
AL061941,UNNAMED,1941,10,20, TS,40,29,-83
AL021942,UNNAMED,1942,8,21, HU,65,29.5,-94.6
AL031942,UNNAMED,1942,8,30, HU,100,28.3,-96.6
AL011943,UNNAMED,1943,7,27, HU,90,29.5,-94.6
AL071943,UNNAMED,1943,10,1, TS,55,37.7,-75.7
AL031944,UNNAMED,1944,8,1, HU,70,33.9,-78.1
AL061944,UNNAMED,1944,9,10, TS,55,29.3,-89.4
AL061944,UNNAMED,1944,9,10, TS,50,30.3,-88.3
AL071944,UNNAMED,1944,9,15, HU,90,40.9,-72.2
AL071944,UNNAMED,1944,9,15, HU,85,41.4,-71.6
AL131944,UNNAMED,1944,10,18, HU,105,24.6,-82.9
AL131944,UNNAMED,1944,10,19, HU,90,27.2,-82.5
AL011945,UNNAMED,1945,6,24, HU,70,28.6,-82.7
AL011945,UNNAMED,1945,6,26, HU,65,34.7,-76.6
AL051945,UNNAMED,1945,8,27, HU,100,28.2,-96.7
AL071945,UNNAMED,1945,9,5, TS,35,26.5,-82.1
AL091945,UNNAMED,1945,9,15, HU,115,25.3,-80.3
AL091945,UNNAMED,1945,9,15, HU,115,25.4,-80.4
AL091945,UNNAMED,1945,9,17, TS,60,32.1,-80.9
AL021946,UNNAMED,1946,7,6, TS,45,33.9,-78.2
AL031946,UNNAMED,1946,8,25, TS,35,22.1,-97.8
AL041946,UNNAMED,1946,9,12, TS,55,25,-78.2
AL041946,UNNAMED,1946,9,12, TS,65,25.9,-77.3
AL061946,UNNAMED,1946,10,7, HU,80,22.2,-83.9
AL061946,UNNAMED,1946,10,8, HU,75,27.5,-82.6
AL071946,UNNAMED,1946,11,1, TS,35,23.4,-75.8
AL071946,UNNAMED,1946,11,1, TS,40,24.6,-77.8
AL071946,UNNAMED,1946,11,1, TS,40,26.6,-80.1
AL011947,UNNAMED,1947,8,2, TS,45,25.6,-97.3
